task,seed,mask_id,selected_groups,selected_features,n_groups,n_features,cost,in_path_with_boundaries,refit_gradient_inf,val_bce,val_auroc,val_ap
synthetic_cheap_signal,51966,42,"[1, 3, 5]","[0, 1, 5, 6, 7, 11, 12, 13, 17, 18, 19]",3,11,220.0,False,1.5587659924129596e-09,0.6245017242469214,0.698217626476505,0.6333099950722896
synthetic_cheap_signal,51966,43,"[0, 1, 3, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13, 17, 18, 19]",4,14,230.0,False,3.375025240833675e-09,0.4379695049513541,0.8755861010872713,0.8398912214896231
synthetic_cheap_signal,51966,44,"[2, 3, 5]","[0, 1, 8, 9, 10, 11, 12, 13, 17, 18, 19]",3,11,235.0,False,2.5270034539302415e-09,0.683983089712105,0.5493733904235584,0.500938948552613
synthetic_cheap_signal,51966,45,"[0, 2, 3, 5]","[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 17, 18, 19]",4,14,245.0,False,1.3352996592369857e-09,0.5308876967432296,0.8045259919687516,0.7680716675370408
synthetic_cheap_signal,51966,46,"[1, 2, 3, 5]","[0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 18, 19]",4,14,255.0,False,1.318294014907408e-08,0.6251713924288602,0.6972548160092681,0.6313800694705022
synthetic_cheap_signal,51966,47,"[0, 1, 2, 3, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 18, 19]",5,17,265.0,False,4.456103923274621e-09,0.43823264745548496,0.8750929542625889,0.8392322656050046
synthetic_cheap_signal,51966,48,"[4, 5]","[0, 1, 14, 15, 16, 17, 18, 19]",2,8,230.0,False,4.572359235757355e-10,0.6851649761975759,0.549404701333062,0.5041115643209388
synthetic_cheap_signal,51966,49,"[0, 4, 5]","[0, 1, 2, 3, 4, 14, 15, 16, 17, 18, 19]",3,11,240.0,False,2.2572446592536606e-09,0.5324234471844496,0.8044790256044962,0.7640318869664073
synthetic_cheap_signal,51966,50,"[1, 4, 5]","[0, 1, 5, 6, 7, 14, 15, 16, 17, 18, 19]",3,11,250.0,False,5.555130907561148e-09,0.6278623226655703,0.6925346964015937,0.6304147799808354
synthetic_cheap_signal,51966,51,"[0, 1, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 14, 15, 16, 17, 18, 19]",4,14,260.0,True,9.237921646002883e-10,0.44092138300263,0.8733708542398885,0.8371590438587809
synthetic_cheap_signal,51966,52,"[2, 4, 5]","[0, 1, 8, 9, 10, 14, 15, 16, 17, 18, 19]",3,11,265.0,False,2.343572384663754e-09,0.687357289489708,0.5423049526031107,0.49407386105997686
synthetic_cheap_signal,51966,53,"[0, 2, 4, 5]","[0, 1, 2, 3, 4, 8, 9, 10, 14, 15, 16, 17, 18, 19]",4,14,275.0,False,1.2394843839674043e-09,0.5341112317218807,0.802905652401938,0.7620731509719378
synthetic_cheap_signal,51966,54,"[1, 2, 4, 5]","[0, 1, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 19]",4,14,285.0,False,6.523204242613611e-09,0.628546269024573,0.6910630836549225,0.6282078569933274
synthetic_cheap_signal,51966,55,"[0, 1, 2, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 19]",5,17,295.0,True,1.2063721443377135e-09,0.44124364115189835,0.8731908165102426,0.8366555275507295
synthetic_cheap_signal,51966,56,"[3, 4, 5]","[0, 1, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,11,290.0,False,3.1548962931311013e-09,0.6834840517246681,0.5518391245469703,0.511678131020245
synthetic_cheap_signal,51966,57,"[0, 3, 4, 5]","[0, 1, 2, 3, 4, 11, 12, 13, 14, 15, 16, 17, 18, 19]",4,14,300.0,False,1.4891031364119801e-09,0.5301948698223845,0.8054888024359887,0.7680680028420336
synthetic_cheap_signal,51966,58,"[1, 3, 4, 5]","[0, 1, 5, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19]",4,14,310.0,False,1.9599277640493083e-08,0.6262252776477617,0.6956344764424545,0.6332659686034694
synthetic_cheap_signal,51966,59,"[0, 1, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19]",5,17,320.0,False,6.335823581895413e-09,0.4388008816891013,0.8746780847116656,0.8397228280453694
synthetic_cheap_signal,51966,60,"[2, 3, 4, 5]","[0, 1, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",4,14,325.0,False,2.6504511976321976e-09,0.6855381696527868,0.5454125603713473,0.5012553268252804
synthetic_cheap_signal,51966,61,"[0, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",5,17,335.0,False,2.5715797819504424e-09,0.5316196304155895,0.8041893996915875,0.7669563178163885
synthetic_cheap_signal,51966,62,"[1, 2, 3, 4, 5]","[0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",5,17,345.0,False,1.2577082778232035e-08,0.6268719683851461,0.6942254855147905,0.630781048962853
synthetic_cheap_signal,51966,63,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",6,20,355.0,True,1.3814335581595471e-09,0.4389915492500596,0.8744980469820196,0.8394756907538621
synthetic_expensive_signal,51966,0,[],"[0, 1]",0,2,0.0,True,9.775372897977861e-11,0.6845130482644108,0.5635713232612457,0.5006043457826579
synthetic_expensive_signal,51966,1,[0],"[0, 1, 2, 3, 4]",1,5,10.0,False,5.91051063005151e-11,0.6846481122224031,0.5637032381218428,0.5002674900712661
synthetic_expensive_signal,51966,2,[1],"[0, 1, 5, 6, 7]",1,5,20.0,False,2.5655214759196992e-09,0.6851307319049164,0.5604131263045993,0.500136139231687
synthetic_expensive_signal,51966,3,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",2,8,30.0,False,1.0666288217616168e-08,0.6852911713128642,0.5597613116992962,0.4995075434085089
